lt,t,v,timestamp
2025-10-17T12:10:00.000,2025-10-17T20:10:00.000Z,3.764,2025-10-17T00:00:00Z
2025-10-17T12:00:00.000,2025-10-17T20:00:00.000Z,3.423,2025-10-17T00:00:00Z
2025-10-17T11:50:00.000,2025-10-17T19:50:00.000Z,3.474,2025-10-17T00:00:00Z
2025-10-17T11:40:00.000,2025-10-17T19:40:00.000Z,3.213,2025-10-17T00:00:00Z
2025-10-17T11:30:00.000,2025-10-17T19:30:00.000Z,3.24,2025-10-17T00:00:00Z
2025-10-17T11:20:00.000,2025-10-17T19:20:00.000Z,3.201,2025-10-17T00:00:00Z
2025-10-17T11:10:00.000,2025-10-17T19:10:00.000Z,2.214,2025-10-17T00:00:00Z
2025-10-17T11:00:00.000,2025-10-17T19:00:00.000Z,1.915,2025-10-17T00:00:00Z
2025-10-17T10:50:00.000,2025-10-17T18:50:00.000Z,1.681,2025-10-17T00:00:00Z
2025-10-17T10:40:00.000,2025-10-17T18:40:00.000Z,1.256,2025-10-17T00:00:00Z
2025-10-17T10:30:00.000,2025-10-17T18:30:00.000Z,0.951,2025-10-17T00:00:00Z
2025-10-17T10:20:00.000,2025-10-17T18:20:00.000Z,1.286,2025-10-17T00:00:00Z
2025-10-17T10:10:00.000,2025-10-17T18:10:00.000Z,1.146,2025-10-17T00:00:00Z
2025-10-17T10:00:00.000,2025-10-17T18:00:00.000Z,1.067,2025-10-17T00:00:00Z
2025-10-17T09:50:00.000,2025-10-17T17:50:00.000Z,0.735,2025-10-17T00:00:00Z
2025-10-17T09:40:00.000,2025-10-17T17:40:00.000Z,0.575,2025-10-17T00:00:00Z
2025-10-17T09:30:00.000,2025-10-17T17:30:00.000Z,0.412,2025-10-17T00:00:00Z
2025-10-17T09:20:00.000,2025-10-17T17:20:00.000Z,0.256,2025-10-17T00:00:00Z
2025-10-17T09:10:00.000,2025-10-17T17:10:00.000Z,-0.144,2025-10-17T00:00:00Z
2025-10-17T09:00:00.000,2025-10-17T17:00:00.000Z,-0.149,2025-10-17T00:00:00Z
2025-10-17T08:50:00.000,2025-10-17T16:50:00.000Z,-0.431,2025-10-17T00:00:00Z
2025-10-17T08:40:00.000,2025-10-17T16:40:00.000Z,-0.408,2025-10-17T00:00:00Z
2025-10-17T08:30:00.000,2025-10-17T16:30:00.000Z,-0.379,2025-10-17T00:00:00Z
2025-10-17T08:20:00.000,2025-10-17T16:20:00.000Z,-0.705,2025-10-17T00:00:00Z
2025-10-17T08:10:00.000,2025-10-17T16:10:00.000Z,-0.813,2025-10-17T00:00:00Z
2025-10-17T08:00:00.000,2025-10-17T16:00:00.000Z,-0.724,2025-10-17T00:00:00Z
2025-10-17T07:50:00.000,2025-10-17T15:50:00.000Z,-0.84,2025-10-17T00:00:00Z
2025-10-17T07:40:00.000,2025-10-17T15:40:00.000Z,-1.154,2025-10-17T00:00:00Z
2025-10-17T07:30:00.000,2025-10-17T15:30:00.000Z,-1.218,2025-10-17T00:00:00Z
2025-10-17T07:20:00.000,2025-10-17T15:20:00.000Z,-1.096,2025-10-17T00:00:00Z
2025-10-17T07:10:00.000,2025-10-17T15:10:00.000Z,-1.612,2025-10-17T00:00:00Z
2025-10-17T07:00:00.000,2025-10-17T15:00:00.000Z,-1.819,2025-10-17T00:00:00Z
2025-10-17T06:50:00.000,2025-10-17T14:50:00.000Z,-2.088,2025-10-17T00:00:00Z
2025-10-17T06:40:00.000,2025-10-17T14:40:00.000Z,-2.284,2025-10-17T00:00:00Z
2025-10-17T06:30:00.000,2025-10-17T14:30:00.000Z,-2.356,2025-10-17T00:00:00Z
2025-10-17T06:20:00.000,2025-10-17T14:20:00.000Z,-2.273,2025-10-17T00:00:00Z
2025-10-17T06:10:00.000,2025-10-17T14:10:00.000Z,-2.239,2025-10-17T00:00:00Z
2025-10-17T06:00:00.000,2025-10-17T14:00:00.000Z,-2.441,2025-10-17T00:00:00Z
2025-10-17T05:50:00.000,2025-10-17T13:50:00.000Z,-2.911,2025-10-17T00:00:00Z
2025-10-17T05:40:00.000,2025-10-17T13:40:00.000Z,-2.725,2025-10-17T00:00:00Z
2025-10-17T05:30:00.000,2025-10-17T13:30:00.000Z,-2.518,2025-10-17T00:00:00Z
2025-10-17T05:20:00.000,2025-10-17T13:20:00.000Z,-2.16,2025-10-17T00:00:00Z
2025-10-17T05:10:00.000,2025-10-17T13:10:00.000Z,-1.478,2025-10-17T00:00:00Z
2025-10-17T05:00:00.000,2025-10-17T13:00:00.000Z,-1.624,2025-10-17T00:00:00Z
2025-10-17T04:50:00.000,2025-10-17T12:50:00.000Z,-2.923,2025-10-17T00:00:00Z
2025-10-17T04:40:00.000,2025-10-17T12:40:00.000Z,-2.963,2025-10-17T00:00:00Z
2025-10-17T04:30:00.000,2025-10-17T12:30:00.000Z,-2.839,2025-10-17T00:00:00Z
