site_name,date,ndvi
Eureka Dunes,2024-12-20,0.376886451398565
White Mountains,2024-12-21,0.7938827228008707
White Mountains,2024-12-22,0.6626578180222059
White Mountains,2024-12-23,0.43317863208511226
Tuolumne County,2024-12-24,0.47095416255466477
White Mountains,2024-12-25,0.46350137243604084
Eureka Dunes,2024-12-26,0.5527852328077555
Eureka Dunes,2024-12-27,0.4309532575502113
White Mountains,2024-12-28,0.3405399081999354
Tuolumne County,2024-12-29,0.5143476967066932
White Mountains,2024-12-30,0.5253024787473137
Eureka Dunes,2024-12-31,0.4067864587935782
Tuolumne County,2025-01-01,0.5284136292434259
Tuolumne County,2025-01-02,0.3441117245514679
Tuolumne County,2025-01-03,0.6092607477120628
White Mountains,2025-01-04,0.47076774507998226
White Mountains,2025-01-05,0.4831483177284697
White Mountains,2025-01-06,0.4107356711404623
White Mountains,2025-01-07,0.5364869626843788
Tuolumne County,2025-01-08,0.40467116620330346
Eureka Dunes,2025-01-09,0.5366056876204093
White Mountains,2025-01-10,0.2559591145365614
White Mountains,2025-01-11,0.3346083146286911
White Mountains,2025-01-12,0.24367574335052583
Eureka Dunes,2025-01-13,0.3688693541097273
Eureka Dunes,2025-01-14,0.6350700021248388
Tuolumne County,2025-01-15,0.2716907350621632
White Mountains,2025-01-16,0.2834184428866845
White Mountains,2025-01-17,0.3589656884067235
White Mountains,2025-01-18,0.22244855183104026
Eureka Dunes,2025-01-19,0.13316954768852618
Eureka Dunes,2025-01-20,0.26795477549202107
Tuolumne County,2025-01-21,0.38679320202071477
Tuolumne County,2025-01-22,0.391615727565848
White Mountains,2025-01-23,0.41386853335555873
White Mountains,2025-01-24,0.7252787103685465
Eureka Dunes,2025-01-25,0.4035629096647918
Tuolumne County,2025-01-26,0.43164117489734294
Eureka Dunes,2025-01-27,0.41465764102298386
Tuolumne County,2025-01-28,0.510593101690697
Eureka Dunes,2025-01-29,0.4666330605843093
Eureka Dunes,2025-01-30,0.4945040735948317
Eureka Dunes,2025-01-31,0.5604090804031584
White Mountains,2025-02-01,0.6264233296003217
White Mountains,2025-02-02,0.20044183303051505
Eureka Dunes,2025-02-03,0.3726047941191468
Eureka Dunes,2025-02-04,0.3147964861211272
Eureka Dunes,2025-02-05,0.6436284979866924
Eureka Dunes,2025-02-06,0.24503108812459073
Tuolumne County,2025-02-07,0.47530048677731307
Eureka Dunes,2025-02-08,0.6057403659965707
White Mountains,2025-02-09,0.6745780796414116
Tuolumne County,2025-02-10,0.747077996629434
Tuolumne County,2025-02-11,0.11505793926750263
Tuolumne County,2025-02-12,0.6228898689943758
White Mountains,2025-02-13,0.2734457257439
Tuolumne County,2025-02-14,0.2764199680629487
Tuolumne County,2025-02-15,0.6047297115885583
White Mountains,2025-02-16,0.5541921636792565
Tuolumne County,2025-02-17,0.2872001669501274
Tuolumne County,2025-02-18,0.500513888000157
Eureka Dunes,2025-02-19,0.3820184378097068
White Mountains,2025-02-20,0.20840123430748728
Eureka Dunes,2025-02-21,0.47838350540117874
Tuolumne County,2025-02-22,0.22788720864036702
White Mountains,2025-02-23,0.6324086267252854
White Mountains,2025-02-24,0.017761042242785463
Eureka Dunes,2025-02-25,0.4545776176656828
Eureka Dunes,2025-02-26,0.4849234569034336
Tuolumne County,2025-02-27,0.7684223529108039
Tuolumne County,2025-02-28,0.4115196719563524
White Mountains,2025-03-01,0.5433226131688959
White Mountains,2025-03-02,0.5317495714379371
Eureka Dunes,2025-03-03,0.3116564914679565
Eureka Dunes,2025-03-04,0.26730698598376124
Tuolumne County,2025-03-05,0.31444683811889407
Eureka Dunes,2025-03-06,0.38892649986279176
Eureka Dunes,2025-03-07,0.45651910693240594
White Mountains,2025-03-08,0.39597894568701314
Tuolumne County,2025-03-09,0.4067352305331148
White Mountains,2025-03-10,0.23942383801617642
Tuolumne County,2025-03-11,0.4496413029456314
Tuolumne County,2025-03-12,0.32706330360672065
Eureka Dunes,2025-03-13,0.8271699995602482
White Mountains,2025-03-14,0.37225778433713297
Eureka Dunes,2025-03-15,0.6546467164770663
White Mountains,2025-03-16,0.47350979406624827
White Mountains,2025-03-17,0.6487309881811493
Tuolumne County,2025-03-18,0.8077087930163153
Eureka Dunes,2025-03-19,0.8957729287253505
White Mountains,2025-03-20,0.40289996205102685
White Mountains,2025-03-21,0.438156396113268
White Mountains,2025-03-22,0.4057215537200954
White Mountains,2025-03-23,0.26866234814256706
White Mountains,2025-03-24,0.41419059645911177
Eureka Dunes,2025-03-25,0.5148682404198844
White Mountains,2025-03-26,0.4309663940289955
White Mountains,2025-03-27,0.3051016471553895
Tuolumne County,2025-03-28,0.21909523872047562
Tuolumne County,2025-03-29,0.4499418217483108
White Mountains,2025-03-30,0.46079126870599224
White Mountains,2025-03-31,0.4207561765965371
Eureka Dunes,2025-04-01,0.38438106367834424
White Mountains,2025-04-02,0.6394335386376135
White Mountains,2025-04-03,0.4849119715014457
Eureka Dunes,2025-04-04,0.2943403667979526
White Mountains,2025-04-05,0.3464449075788819
Tuolumne County,2025-04-06,0.7118412519685469
White Mountains,2025-04-07,0.47457586326502194
White Mountains,2025-04-08,0.7076821049561178
Tuolumne County,2025-04-09,0.5396422332954971
Eureka Dunes,2025-04-10,0.3964525498366958
Eureka Dunes,2025-04-11,0.520228590073254
Tuolumne County,2025-04-12,0.5970447383042985
Tuolumne County,2025-04-13,0.538463574304695
Tuolumne County,2025-04-14,0.5035172929889863
White Mountains,2025-04-15,0.11242989030378253
Eureka Dunes,2025-04-16,0.45940813632932154
White Mountains,2025-04-17,0.5432296667083513
Eureka Dunes,2025-04-18,0.5027335743119185
White Mountains,2025-04-19,0.3474647737726209
Eureka Dunes,2025-04-20,0.594065694807924
Tuolumne County,2025-04-21,0.1855165283673404
Eureka Dunes,2025-04-22,0.5087692133437082
White Mountains,2025-04-23,0.49505832699557456
Eureka Dunes,2025-04-24,0.49123843444799303
White Mountains,2025-04-25,0.4526570481474993
